id,material_id,starts_from,price,created_at,updated_at
3317,1797,31,19.8,2021-07-29T15:04:07.625Z,2021-07-29T15:04:07.625Z
3318,1797,100,18,2021-07-29T15:04:07.628Z,2021-07-29T15:04:07.628Z
3319,1345,31,16.72,2021-07-29T15:04:07.651Z,2021-07-29T15:04:07.651Z
3320,1345,100,15.2,2021-07-29T15:04:07.660Z,2021-07-29T15:04:07.660Z
3321,1336,31,16.94,2021-07-29T15:04:07.681Z,2021-07-29T15:04:07.681Z
3322,1336,100,15.4,2021-07-29T15:04:07.684Z,2021-07-29T15:04:07.684Z
3323,1343,31,18.15,2021-07-29T15:04:07.706Z,2021-07-29T15:04:07.706Z
3324,1343,100,16.5,2021-07-29T15:04:07.708Z,2021-07-29T15:04:07.708Z
3325,1798,31,60.5,2021-07-29T15:04:07.731Z,2021-07-29T15:04:07.731Z
3326,1798,100,55,2021-07-29T15:04:07.734Z,2021-07-29T15:04:07.734Z
3420,2335,50,70,2021-08-02T15:12:38.417Z,2021-08-02T15:12:38.417Z
3421,2335,500,65,2021-08-02T15:12:38.419Z,2021-08-02T15:12:38.419Z
3422,2335,1000,55,2021-08-02T15:12:38.422Z,2021-08-02T15:12:38.422Z
3423,2335,5000,45,2021-08-02T15:12:38.424Z,2021-08-02T15:12:38.424Z
3424,2070,50,86,2021-08-02T15:12:38.453Z,2021-08-02T15:12:38.453Z
3425,2070,500,81,2021-08-02T15:12:38.455Z,2021-08-02T15:12:38.455Z
3426,2070,1000,71,2021-08-02T15:12:38.458Z,2021-08-02T15:12:38.458Z
3427,2070,5000,61,2021-08-02T15:12:38.460Z,2021-08-02T15:12:38.460Z
3491,1984,350,21.8,2021-08-05T12:58:40.177Z,2021-08-05T12:58:40.177Z
3492,1983,350,21.9,2021-08-05T12:58:40.198Z,2021-08-05T12:58:40.198Z
3493,1985,300,21.5,2021-08-05T12:58:40.218Z,2021-08-05T12:58:40.218Z
3494,1982,320,28.8,2021-08-05T12:58:40.239Z,2021-08-05T12:58:40.239Z
3495,1978,320,9.8,2021-08-05T12:58:40.279Z,2021-08-05T12:58:40.279Z
3496,1979,360,9.8,2021-08-05T12:58:40.299Z,2021-08-05T12:58:40.299Z
3497,1977,300,15.8,2021-08-05T12:58:40.318Z,2021-08-05T12:58:40.318Z
3498,1980,315,12.8,2021-08-05T12:58:40.338Z,2021-08-05T12:58:40.338Z
3499,1976,320,8.2,2021-08-05T12:58:40.358Z,2021-08-05T12:58:40.358Z
1954,2315,300,11.95,2021-06-18T11:19:13.391Z,2021-06-18T11:19:13.391Z
1955,2313,300,12.1,2021-06-18T11:19:13.418Z,2021-06-18T11:19:13.418Z
1956,2280,300,10.3,2021-06-18T11:19:13.443Z,2021-06-18T11:19:13.443Z
1957,2281,300,9.5,2021-06-18T11:19:13.467Z,2021-06-18T11:19:13.467Z
1958,2283,300,13.4,2021-06-18T11:19:13.491Z,2021-06-18T11:19:13.491Z
1959,2285,300,12.9,2021-06-18T11:19:13.515Z,2021-06-18T11:19:13.515Z
1960,2286,300,12.9,2021-06-18T11:19:13.534Z,2021-06-18T11:19:13.534Z
1961,2297,300,7.5,2021-06-18T11:19:13.553Z,2021-06-18T11:19:13.553Z
1962,2291,300,8.8,2021-06-18T11:19:13.579Z,2021-06-18T11:19:13.579Z
1963,2290,300,8.8,2021-06-18T11:19:13.603Z,2021-06-18T11:19:13.603Z
1964,2295,300,9.1,2021-06-18T11:19:13.626Z,2021-06-18T11:19:13.626Z
1965,2288,300,6.35,2021-06-18T11:19:13.655Z,2021-06-18T11:19:13.655Z
1966,2292,300,5,2021-06-18T11:19:13.680Z,2021-06-18T11:19:13.680Z
1967,2289,300,6.95,2021-06-18T11:19:13.703Z,2021-06-18T11:19:13.703Z
1968,2296,300,6.8,2021-06-18T11:19:13.727Z,2021-06-18T11:19:13.727Z
1969,2293,300,8.1,2021-06-18T11:19:13.751Z,2021-06-18T11:19:13.751Z
1970,2298,300,10.45,2021-06-18T11:19:13.771Z,2021-06-18T11:19:13.771Z
1971,2300,300,8.5,2021-06-18T11:19:13.791Z,2021-06-18T11:19:13.791Z
1972,2301,300,12.4,2021-06-18T11:19:13.810Z,2021-06-18T11:19:13.810Z
1973,2303,300,5.95,2021-06-18T11:19:13.834Z,2021-06-18T11:19:13.834Z
1974,2302,300,5.9,2021-06-18T11:19:13.858Z,2021-06-18T11:19:13.858Z
1975,2304,300,6.95,2021-06-18T11:19:13.881Z,2021-06-18T11:19:13.881Z
1976,2305,300,6.15,2021-06-18T11:19:13.905Z,2021-06-18T11:19:13.905Z
1977,2311,300,17.9,2021-06-18T11:19:13.925Z,2021-06-18T11:19:13.925Z
1978,2310,300,18.4,2021-06-18T11:19:13.945Z,2021-06-18T11:19:13.945Z
1979,2312,300,9.5,2021-06-18T11:19:13.968Z,2021-06-18T11:19:13.968Z
1980,2317,300,7.9,2021-06-18T11:19:13.994Z,2021-06-18T11:19:13.994Z
1981,2316,300,8.45,2021-06-18T11:19:14.018Z,2021-06-18T11:19:14.018Z
